name,year
"Panangaden, Prakash",2020
"Wolf, Marilyn Claire",2001
"Ma, Yi",2017
"Aggarwal, Charu Chandra",2013
"Diot, Christophe",2005
"Loveland, Donald W",2000
"Alonso, Gustavo",2012
"Zilberstein, Shlomo",2021
"Hambrusch, Susanne E",2020
"Farber, David J.",2001
"Weiss, Eric A",1994
"Dahlin, Michael D",2010
"Abramsky, Samson",2014
"Lederberg, Joshua",1994
"Snir, Marc",1999
"Sheth, Amit",2020
"Welzl, Emmerich",1998
"Kowalski, Robert A",2001
"Devadas, Srinivas",2014
"Ooi, Beng Chin",2011
"Faloutsos, Christos",2010
"Scott, Dana S",1994
"Pradhan, Dhiraj",1999
"Seitz, Steve",2017
"Launchbury, John",2010
"Cooper, Keith D",2005
"Flynn, Michael J",1994
"Keshav, Srinivasan",2012
"Fu, Kevin",2022
"Stevens, Rick",2020
"Lu, Songwu",2019
"Diffie, Whitfield",2020
"Towsley, Donald F",1997
"Tompa, Frank Wm",2010
"Hershberger, John",2012
"Pearl, Judea",2015
"Zimmermann, Thomas",2021
"Flanagan, Cormac",2020
"Lamport, Leslie",2014
"Sipser, Michael",2017
"Ladner, Richard E.",1995
"Rangan, Venkat",1998
"Manna, Zohar",1994
"Shamir, Adi",2020
"Elmagarmid, Ahmed",2012
"Choudhury, Tanzeem",2021
"Asano, Tetsuo",2001
"Catmull, Edwin",1995
"Bubenko, Janis A",2004
"Snyder, Larry",1995
"Alon, Noga",2016
"Vazirani, Umesh",2005
"Dally, William",2002
"Kesselman, Carl",2017
"Bhatkar, Vijay P",2009
"Berger, Emery David",2019
"Muntz, Richard R",1996
"Kemper, Alfons",2022
"Slutz, Donald R",1994
"Thompson, Kenneth Lane",2020
"Vishkin, Uzi",1996
"Lewis, Philip M",1999
"Perlman, Radia",2016
"Ross, Robert B",2021
"El Abbadi, Amr",2010
"Brandin, David H",1995
"Korth, Henry F",2000
"Katoen, Joost-Pieter",2020
"Freire, Juliana",2014
"Nycum, Susan H",1998
"Ailamaki, Anastasia",2015
"Vetterli, Martin",2009
"Mason, Matthew T",2021
"Asokan, N",2018
"Ammar, Mostafa",2003
"Nishizeki, Takao",1996
"Warnow, Tandy",2015
"Zhu, Wenwu",2022
"Barak, Boaz",2022
"Roberts, Eric S",2007
"Huskey, Harry D",1994
"Kleinrock, Leonard",2000
"Suciu, Dan",2011
"Maltz, David",2020
"Li, Fei-Fei",2018
"Iyer, Ravishankar",2001
"Mooney, Raymond",2010
"Goldwasser, Shafi",2017
"Bradshaw, Charles L",1994
"Thuraisingham, Bhavani",2018
"Li, Hang",2022
"Borner, Katy",2018
"Chang, Shih Fu",2017
"Scott, Steven",2012
"Tanenbaum, Andrew S",1996
"Blei, David M.",2015
"Lyles, Joseph Bryan",2016
"Steinmetz, Ralf",2001
"Coffman, Ed",1994
"Grohe, Martin",2017
"Reddy, Raj",2012
"Hamming, Richard W",1994
"Geschke, Charles M",1999
"Shin, Kang",2001
"Rosenblum, Mendel",2008
"Smolka, Scott",2021
"Thacker, Charles P",1994
"Libkin, Leonid",2012
"Gupta, Gopal Krishna",1998
"Keckler, Stephen",2011
"Mackay, Wendy Elizabeth",2019
"Smith, Alan",2001
"Borodin, Allan",2014
"Jaja, Joseph F",2001
"Halpern, Joseph",2002
"Blakeley, Jose A",2009
"Nagappan, Nachiappan",2020
"Shaw, Mary M",1996
"Govindaraju, Venu",2009
"Taft, Edward A",1994
"Gabow, Harold N",2002
"Flinn, Jason",2016
"Chayes, Jennifer",2010
"Fang, Yuguang",2022
"Cohen, Philip R",2019
"Carlson, Walter",1994
"Wong, Limsoon",2013
"Sahai, Amit",2018
"Tesauro, Gerald",2018
"Davis, Gordon B",1997
"Berghel, Hal",1998
"Hoppe, Hugues",2011
"King, Valerie",2014
"De Lucena, Carlos J P",2013
"Nau, Dana",2013
"OLeary, Dianne Prost",2006
"Vassiliadis, Stamatis",2004
"Reif, John H",1997
"Schroeder, Michael D",2004
"Weiser, Uri",2005
"Canetti, Ran",2020
"Vadhan, Salil",2018
"Kaufman, Arie E",2009
"Beeri, Catriel",2007
"Palem, Krishna",2005
"Pollack, Martha",2011
"Seshan, Srinivasan",2019
"Pratt, Vaughan Ronald",1997
"Hillis, William Daniel",1994
"Joachims, Thorsten",2014
"Sheffer, Alla",2021
"Qiu, Lili",2018
"Sorkine-Hornung, Olga",2020
"Klein, Philip N",2010
"Nicol, David M",2005
"Reed, Daniel A",2003
"Max, Nelson",2011
"Ghemawat, Sanjay",2020
"Borg, Anita",1996
"De Supinski, Bronis R.",2022
"Cachin, Christian",2019
"Lomet, David B",2002
"Lin, Yi-Bing",2003
"Lindsay, Bruce",1994
"Roussopoulos, Nick",2001
"Mishra, Bud",2007
"Taylor, Valerie",2016
"Sha, Lui",2005
"Ashenhurst, R L",1995
"Bryant, Randal E",2000
"Russell, Stuart",2003
"Myers, Andrew",2013
"Anandkumar, Anima",2022
"Zadeck, Frank Kenneth",2011
"Misra, Jayadev",1995
"Ryder, Barbara Gershon",1998
"Kramer, Jeffrey",2001
"Gao, Wen",2013
"Shum, Heung-Yeung",2006
"Hoffman, Lance",1995
"Garey, Michael R",1995
"Harper, Robert",2005
"Floyd, Sally J",2001
"Turner, Jonathan",2001
"Gao, Lixin",2012
"Srivastava, Mani B.",2017
"Hanrahan, Pat",2008
"Atienza Alonso, David",2022
"Whang, Kyu-Young",2009
"Guo, Baining",2011
"Dorr, Bonnie J",2020
"Goodenough, John B",1995
"Reynolds, John C",2001
"Daskalakis, Constantinos",2022
"Guzdial, Mark",2014
"Murphy, Gail C",2017
"Norvig, Peter",2006
"Cook, Stephen A",2008
"Broder, Andrei",2007
"Ranganathan, Parthasarathy",2014
"Brewer, Eric A.",2007
"Allender, Eric",2006
"Zhou, Lidong",2019
"Kavraki, Lydia",2010
"Kwiatkowska, Marta",2016
"Anderson, Thomas",2005
"Goldberg, Adele",1994
"Rosenberg, Arnold",1996
"Gray, Jim",1994
"Osterweil, Leon J",1998
"Culler, David",2002
"Dongarra, Jack",2001
"Chen, Xilin",2019
"Levine, Brian",2020
"McCluskey, Edward",1994
"Ullman, Jeffrey D",1995
"Elias, Peter",1994
"Wigderson, Avi",2018
"Boehm, Barry",1997
"Herzog, Bertram",1995
"Curtis, Bill",2022
"Cox, Ingemar J.",2013
"Jain, Ramesh C",2003
"Kurzweil, Ray",1994
"Eggers, Susan",2002
"Feldman, Stuart",1995
"Siewiorek, Daniel",1994
"Andrews, Gregory R",1998
"Schek, Hans-Joerg",2001
"Vidal, Rene",2022
"Hall, Wendy",2010
"Kaeli, David R",2021
"Helal, Sumi",2022
"Maier, David",1998
"Vitter, Jeffrey S.",1996
"Gannon, John D",1999
"Sifakis, Joseph",2012
"Cranor, Lorrie Faith",2014
"Waters, Brent",2021
"Sussman, Gerald",1994
"Furnas, George",2011
"Siegel, Howard",1998
"Bala, Kavita",2019
"Mccallum, Andrew K.",2017
"Dobkin, David P",1997
"Rodriguez, Pablo",2015
"Knightly, Edward",2017
"Wing, Jeannette M.",1998
"Low, Steven H.",2020
"Gusfield, Dan",2017
"Warnock, John",1999
"Hartmanis, Juris",1994
"Goodrich, Michael T",2009
"Lam, Simon S",1998
"Wilks, Yorick",2009
"Pitts, Andrew M",2012
"Jain, Anil K",2003
"Gear, Charles W",1994
"Sabnani, Krishan K.",2001
"Garcia-Molina, Hector",1997
"Clarke, Lori",1998
"Li, Ming",2006
"Leroy, Xavier",2015
"Cohen, Edith",2017
"Zadeh, L A",1994
"Reingold, Omer",2014
"Stearns, Richard E",1994
"Rau, Bantwal R",2002
"Meyer, Bertrand",2008
"Myers, Brad A",2005
"Norman, Donald A.",2001
"Haas, Laura M",2006
"Gini, Maria L",2019
"Jones, Cliff B",1995
"Lampson, Butler W",1994
"White, John R.",1995
"Pereira, Fernando",2010
"Cong, Jason",2008
"Raghavan, Prabhakar",2001
"Sitaraman, Ramesh Kumar",2019
"Fuchs, Wesley Kent",2000
"Li, Xiangyang",2019
"Gordon, Andrew D.",2020
"Spielman, Daniel A",2010
"Waltz, David L",1999
"Afrati, Foto",2014
"Agha, Gul",2018
"Allan, James",2020
"Hong, Jason",2022
"Kearns, Michael",2014
"House, Charles H",2008
"Wise, David S",2004
"Hertzmann, Aaron",2018
"Bahl, Victor",2003
"Dutt, Nikil D.",2014
"Tsudik, Gene",2014
"Preparata, Franco P",1995
"Pollefeys, Marc",2022
"Miller, RJ",2009
"Newell, Alan",2006
"Biermann, Alan W",2000
"Eppstein, David",2011
"Hand, Steven Michael",2017
"Kleinberg, Robert",2021
"Cytron, Ron",2010
"Sabharwal, Ashutosh",2022
"Samet, Hanan",1996
"Sharir, Micha",1997
"Shenoy, Prashant J",2019
"Mihalcea, Rada",2019
"Hull, Richard",2007
"Mitzenmacher, Michael",2014
"Ginsberg, Myron",1995
"Bartlett, Peter L",2018
"Ostrovsky, Rafail",2021
"Camenisch, Jan",2018
"Moses, Joel",2008
"Freedman, Michael J.",2019
"Littman, Michael",2018
"Lee, Ruby B",2001
"Shoham, Yoav",2012
"Leino, K. Rustan M.",2016
"Bernstein, Lawrence",1995
"Rosson, Mary Beth",2020
"Chawla, Nitesh",2022
"Perrig, Adrian",2016
"Parnas, David Lorge",1994
"Galler, Bernard A",1994
"Bertino, Elisa",2003
"Van Der Aalst, Wil",2020
"Kaplan, Ronald M",1994
"McIlraith, Sheila",2019
"Yi, Wang",2020
"Poucher, William B",1994
"Pirahesh, Hamid",2008
"Witten, Ian",1996
"Bundy, Alan",2014
"Wilensky, Robert",1997
"Smyth, Padhraic",2013
"Boncz, Peter",2022
"Rubinfeld, Ronitt",2014
"Loh, Gabriel H",2017
